Universidad,Carrera,Cuatrimestre,Periodo,Materia
UP Altamira - Universidad Politécnica,Ing. En Sistemas Electrónicos,7,Cuatrimestre 7,Fundamentos de Control
UP Altamira - Universidad Politécnica,Ing. En Sistemas Electrónicos,7,Cuatrimestre 7,Habilidades Gerenciales
UP Altamira - Universidad Politécnica,Ing. En Sistemas Electrónicos,7,Cuatrimestre 7,Inglés VI
UP Altamira - Universidad Politécnica,Ing. En Sistemas Electrónicos,7,Cuatrimestre 7,Señales y Sistemas Lineales
UP Altamira - Universidad Politécnica,Ing. En Sistemas Electrónicos,8,Cuatrimestre 8,Control Digital
UP Altamira - Universidad Politécnica,Ing. En Sistemas Electrónicos,8,Cuatrimestre 8,Dispositivos Lógicos Programables
UP Altamira - Universidad Politécnica,Ing. En Sistemas Electrónicos,8,Cuatrimestre 8,Gestión Empresarial de Proyectos
UP Altamira - Universidad Politécnica,Ing. En Sistemas Electrónicos,8,Cuatrimestre 8,Inglés VII
UP Altamira - Universidad Politécnica,Ing. En Sistemas Electrónicos,8,Cuatrimestre 8,Microprocesadores y Microcontroladores
UP Altamira - Universidad Politécnica,Ing. En Sistemas Electrónicos,8,Cuatrimestre 8,Procesamiento Digital de Señales
UP Altamira - Universidad Politécnica,Ing. En Sistemas Electrónicos,8,Cuatrimestre 8,Sistemas de Televisión y Radiodifusión
UP Altamira - Universidad Politécnica,Ing. En Sistemas Electrónicos,9,Cuatrimestre 9,Comunicaciones Electrónicas
UP Altamira - Universidad Politécnica,Ing. En Sistemas Electrónicos,9,Cuatrimestre 9,Electrónica de Potencia
UP Altamira - Universidad Politécnica,Ing. En Sistemas Electrónicos,9,Cuatrimestre 9,Gestión de Mantenimiento
UP Altamira - Universidad Politécnica,Ing. En Sistemas Electrónicos,9,Cuatrimestre 9,Inglés VIII
UP Altamira - Universidad Politécnica,Ing. En Sistemas Electrónicos,9,Cuatrimestre 9,Internet de las Cosas
UP Altamira - Universidad Politécnica,Ing. En Sistemas Electrónicos,9,Cuatrimestre 9,Proyecto Integrador III
UP Altamira - Universidad Politécnica,Ing. En Sistemas Electrónicos,9,Cuatrimestre 9,Sistemas Embebidos
UP Altamira - Universidad Politécnica,Ing. En Sistemas Electrónicos,10,X (Estadía Ingeniería),ESTADÍA LICENCIATURA EN INGENIERÍA EN SISTEMAS ELECTRÓNICOS
UP Altamira - Universidad Politécnica,Ing. En Ti E Innovación Digital,1,Cuatrimestre 1,Comunicación y Habilidades Digitales
UP Altamira - Universidad Politécnica,Ing. En Ti E Innovación Digital,1,Cuatrimestre 1,Desarrollo Humano y Valores
UP Altamira - Universidad Politécnica,Ing. En Ti E Innovación Digital,1,Cuatrimestre 1,Fundamentos Matemáticos
UP Altamira - Universidad Politécnica,Ing. En Ti E Innovación Digital,1,Cuatrimestre 1,Fundamentos de Programación
UP Altamira - Universidad Politécnica,Ing. En Ti E Innovación Digital,1,Cuatrimestre 1,Fundamentos de Redes
UP Altamira - Universidad Politécnica,Ing. En Ti E Innovación Digital,1,Cuatrimestre 1,Física
